branching_factor,false_positive_rate,max_elements,total storage,name,num_nodes_visited,nodes_visited,time
2,0.1,1000,91067,Jake,11,"[1, 2, 5, 10, 20, 41, 83, 166, 332, 664, 1328]",0.008233070373535156
2,0.1,1000,91067,Richard,14,"[1, 2, 3, 6, 7, 14, 28, 56, 57, 114, 229, 458, 916, 1833]",0.008358955383300781
2,0.1,1000,91067,Karen,13,"[1, 2, 3, 6, 12, 13, 26, 53, 107, 214, 428, 857, 1714]",0.008355140686035156
2,0.1,1000,91067,Pamela,13,"[1, 2, 3, 6, 13, 26, 52, 53, 106, 213, 427, 855, 1711]",0.008540153503417969
2,0.1,1000,91067,Edwin,12,"[1, 2, 3, 6, 12, 25, 50, 101, 202, 404, 809, 1619]",0.008172988891601562
2,0.1,1000,91067,Antonia,12,"[1, 2, 3, 7, 14, 28, 57, 114, 228, 456, 913, 1827]",0.008061885833740234
2,0.1,1000,91067,Rick,11,"[1, 2, 5, 10, 20, 41, 83, 166, 333, 666, 1333]",0.008099079132080078
2,0.1,1000,91067,Candace,11,"[1, 2, 4, 8, 17, 34, 68, 137, 275, 550, 1101]",0.008685827255249023
2,0.1,1000,91067,Rosa,13,"[1, 2, 3, 6, 7, 14, 28, 57, 115, 231, 462, 924, 1848]",0.008693933486938477
2,0.1,1000,91067,Elizabeth,12,"[1, 2, 3, 7, 14, 28, 57, 114, 229, 459, 919, 1838]",0.009124040603637695
2,0.1,1000,91067,Nicole,12,"[1, 2, 3, 6, 13, 27, 55, 110, 221, 443, 886, 1773]",0.008393049240112305
2,0.1,1000,91067,Reginald,11,"[1, 2, 5, 11, 23, 47, 95, 191, 383, 767, 1535]",0.008510112762451172
2,0.1,1000,91067,Bonnie,12,"[1, 2, 3, 7, 15, 30, 60, 120, 240, 481, 962, 1925]",0.008325815200805664
2,0.1,1000,91067,Thomas,14,"[1, 2, 3, 6, 7, 14, 15, 30, 60, 121, 243, 486, 972, 1945]",0.009177923202514648
